Code  ┃Name                 ┃City       ┃University ┃Branches   ┃Capacity   ┃Price      ┃Threshold  ┃Observations ┃Coefficients

31083 ┃Disseny_i_Desenvo... ┃Barcelo... ┃UPC        ┃EA         ┃30         ┃6360       ┃5.000000   ┃17 ┃0,0,0,0,0,2,0,2,0...

81059 ┃Disseny_i_Desenvo... ┃Girona     ┃UdG        ┃EA         ┃40         ┃0          ┃7.736000   ┃16 ┃0,0,0,0,0,2,0,2,0...

31074 ┃Disseny_i_Desenvo... ┃Barcelo... ┃UPC        ┃EA         ┃44         ┃6360       ┃5.000000   ┃17 ┃0,0,0,0,0,2,0,2,0...

11106 ┃Disseny_i_Desenvo... ┃Barcelona  ┃UB         ┃EA         ┃40         ┃8220       ┃5.000000   ┃17 ┃0,0,0,0,0,2,0,2,0...

91056 ┃Disseny_i_Innovac... ┃Barcelona  ┃UVic-UCC   ┃AH         ┃175        ┃10320      ┃5.182000   ┃None ┃0,0,0,0,2,2,2,2,2...

41045 ┃Disseny_i_Producc... ┃Mataro     ┃UPF        ┃CSJ        ┃55         ┃6460       ┃5.000000   ┃17 ┃0,0,0,0,2,2,2,2,2...

41052 ┃Disseny_i_Producc... ┃Mataro     ┃UPF        ┃CSJ        ┃30         ┃7480       ┃5.000000   ┃04,04-17 ┃0,0,0,0,2,2,2,2,2...

31122 ┃Disseny,_Animacio... ┃Terrassa   ┃UPC        ┃AH         ┃40         ┃6360       ┃9.360000   ┃17 ┃0,0,0,0,2,2,2,2,2...

