Codi,Nom del centre d'estudi i població,Universitat,PAU / CFGS,Més grans de 25 anys,Titulats universitaris,Més grans de 45 anys
11010,Criminologia (Barcelona),UB,9 540,5 250,5 000,5 000
91050,Criminologia "ESERP" (Barcelona),UVic-UCC,5 000,5 000,5 000,5 000
21068,Criminologia (Cerdanyola del Vallès),UAB,9 764,7 063,5 000,5 000
81013,Criminologia (Girona),UdG,8 722,5 000,5 000,5 000
11088,Criminologia / Dret (simultaneïtat) (Barcelona),UB,11 550,5 625,5 000,5 000
21108,Criminologia / Dret (simultaneïtat) (Cerdanyola del Vallès),UAB,10 956,6 000,7 410,5 000
81056,Criminologia / Dret (simultaneïtat) (Girona),UdG,10 056,5 000,8 370,5 000
41011,Criminologia i Polítiques Públiques de Prevenció (Barcelona),UPF,9 356,5 000,5 000,5 000
41043,Criminologia i Polítiques Públiques de Prevenció / Dret (simultaneïtat) (Barcelona),UPF,11 362,5 000,5 000,5 000
21107,Direcció Hotelera (Cerdanyola del Vallès),UAB,5 000,5 000,5 000,5 000
81083,Direcció d'Empreses Hoteleres i Gastronòmiques (Sant Pol de Mar),UdG,5 000,5 000,5 000,5 000
71085,Direcció i Gestió d'Empreses en l'Àmbit Digital "ESIC" (Barcelona),URV,5 000,5 000,5 000,5 000
11110,Direcció i Gestió Gastronòmica "Barcelona Culinary Hub" (L'Hospitalet de Llobregat),UB,5 000,5 000,5 000,5 000
11101,Disseny (Barcelona),UB,10 842,5 000,5 000,5 000
91007,Disseny "BAU" (Barcelona),UVic-UCC,8 333,5 000,5 000,5 000
21015,Disseny "Eina" (Barcelona),UAB,5 000,5 000,5 000,5 000
61064,Disseny Digital i Tecnologies Creatives (Lleida),UdL,9 217,5 000,5 000,5 000
31121,Disseny Digital i Tecnologies Multimèdia (Terrassa),UPC,6 082,5 000,5 000,5 000
31083,Disseny i Desenvolupament de Videojocs (docència en Anglès) (Campus Barcelona) (Barcelona / Terrassa),UPC,5 000,5 000,5 000,5 000
81059,Disseny i Desenvolupament de Videojocs (Girona),UdG,7 736,5 000,8 130,5 000
31074,Disseny i Desenvolupament de Videojocs (Campus Terrassa) (Barcelona / Terrassa),UPC,5 000,5 000,5 000,5 000
11106,Disseny i Desenvolupament de Videojocs i Jocs Aplicats "ENTI" (Barcelona),UB,5 000,5 000,5 000,5 000
91056,Disseny i Innovació "ELISAVA" (Barcelona),UVic-UCC,5 182,5 000,5 000,5 000
41045,Disseny i Producció de Videojocs "Tecnocampus" (Mataró),UPF,5 000,5 000,5 000,5 000
41052,Disseny i Producció de Videojocs / Enginyeria Informàtica de Gestió i Sistemes d'Informació "Tecnocampus" (simultaneïtat) (Mataró),UPF,5 000,5 000,5 000,5 000
31122,Disseny Animació i Art Digital (Terrassa),UPC,9 360,5 000,5 000,5 000
11107,Disseny Animació i Art Digital per a Videojocs i Jocs Aplicats "ENTI" (Barcelona),UB,7 328,5 000,5 000,5 000
11012,Dret (Barcelona),UB,9 900,5 000,7 438,5 000
41013,Dret (Barcelona),UPF,11 103,5 000,7 130,5 000
91053,Dret "ESERP" (Barcelona),UVic-UCC,5 000,5 000,5 000,5 000
21086,Dret (Cerdanyola del Vallès),UAB,9 746,6 188,6 850,5 000
81015,Dret (Girona),UdG,8 820,5 000,7 190,5 000
61010,Dret (Lleida),UdL,7 766,5 000,5 000,5 000
71008,Dret (Tarragona),URV,8 536,5 125,5 000,5 000
11070,Dret / Gestió i Administració Pública (simultaneïtat) (Barcelona),UB,10 094,6 250,6 830,5 000
21145,Dret / Relacions Internacionals (simultaneïtat) (Cerdanyola del Vallès),UAB,12 886,6 188,6 586,5 000
21109,Dret / Relacions Laborals (simultaneïtat) (Cerdanyola del Vallès),UAB,10 250,5 000,6 830,5 000
71083,Dret / Relacions Laborals i Recursos Humans (simultaneïtat) (Tarragona),URV,8 745,5 000,6 330,5 000
11103,Economia (Barcelona),UB,9 238,5 000,5 000,5 000
41014,Economia (Barcelona),UPF,10 722,5 000,5 000,5 000
21070,Economia (Cerdanyola del Vallès),UAB,9 150,5 000,5 000,5 000
21110,Economia (docència en Anglès) (Cerdanyola del Vallès),UAB,9 527,5 000,5 000,5 000
81016,Economia (Girona),UdG,8 686,5 000,5 000,5 000
71009,Economia (Reus),URV,7 588,5 000,5 000,5 000
91914,Economia / Estadística (simultaneïtat) (Barcelona),UB / UPC,11 398,5 000,5 000,5 000
81069,Economia / Filosofia (simultaneïtat) (Girona),UdG,7 942,5 000,5 000,5 000
11013,Educació Infantil (Barcelona),UB,9 064,5 000,5 000,5 000
21016,Educació Infantil (Cerdanyola del Vallès),UAB,9 216,5 000,6 620,5 000
71034,Educació Infantil (el Vendrell),URV,7 553,5 000,5 000,5 000
81017,Educació Infantil (Girona),UdG,8 320,5 000,5 000,5 000
61011,Educació Infantil (Lleida),UdL,5 000,5 000,5 000,5 000
91038,Educació Infantil (Campus Manresa) (Manresa),UVic-UCC,5 000,5 000,5 000,7 333
71010,Educació Infantil (Tarragona),URV,7 206,5 000,5 000,5 000
71029,Educació Infantil (Tortosa),URV,5 000,5 000,5 000,5 000
91008,Educació Infantil (Vic),UVic-UCC,5 000,5 000,5 000,5 000
11072,Educació Infantil / Educació Primària (pla de millora de la formació inicial de Mestre - 5 anys) (simultaneïtat) (Barcelona),UB,11 343,6 250,5 000,5 000
21111,Educació Infantil / Educació Primària (pla de millora de la formació inicial de Mestre - 5 anys) (simultaneïtat) (Cerdanyola del Vallès),UAB,11 260,5 000,6 800,5 000
81049,Educació Infantil / Educació Primària (pla de millora de la formació inicial de Mestre - 5 anys) (simultaneïtat) (Girona),UdG,9 434,5 000,5 000,5 000
61037,Educació Infantil / Educació Primària (pla de millora de la formació inicial de Mestre - 5 anys) (simultaneïtat) (Lleida),UdL,9 278,5 000,5 000,5 000
71050,Educació Infantil / Educació Primària (pla de millora de la formació inicial de Mestre - 5 anys) (simultaneïtat) (Tarragona),URV,7 994,5 000,5 000,5 000
71076,Educació Infantil / Educació Primària (pla de millora de la formació inicial de Mestre - 5 anys) (simultaneïtat) (Tortosa),URV,7 104,5 000,6 540,5 000
91030,Educació Infantil / Educació Primària (pla de millora de la formació inicial de Mestre - 5 anys) (menció en Llengua Anglesa) (simultaneïtat) (Vic),UVic-UCC,5 000,5 000,5 000,5 000
11014,Educació Primària (Barcelona),UB,9 442,5 000,7 130,5 000
21018,Educació Primària (Cerdanyola del Vallès),UAB,10 157,5 000,6 030,5 000
21102,Educació Primària (docència en Anglès) (Cerdanyola del Vallès),UAB,8 610,5 000,5 000,5 000
81018,Educació Primària (Girona),UdG,9 178,5 000,7 600,5 000
61072,Educació Primària (modalitat Bilingüe) (Lleida),UdL,7 448,5 000,5 000,5 000
61073,Educació Primària (modalitat dual) (Lleida),UdL,8 416,5 000,5 000,5 000
71011,Educació Primària (Tarragona),URV,9 040,5 000,6 999,5 000
71033,Educació Primària (Tortosa),URV,7 128,5 000,5 000,5 000
91009,Educació Primària (Vic),UVic-UCC,5 000,5 000,5 000,5 000
11015,Educació Social (Barcelona),UB,8 674,5 000,5 000,5 500
21019,Educació Social (Cerdanyola del Vallès),UAB,9 492,5 125,6 450,5 833
81019,Educació Social (Girona),UdG,7 718,5 000,5 000,7 667
61013,Educació Social (Lleida),UdL,7 788,5 000,5 000,5 000
71012,Educació Social (Tarragona),URV,8 104,5 000,7 300,5 667
91010,Educació Social (Vic),UVic-UCC,5 000,5 000,5 000,5 000
21087,Empresa i Tecnologia (Sabadell),UAB,9 600,5 000,5 000,5 000
31126,Empresa Innovació i Tecnologia "EUNCET" (Campus 22@) (presencial) (Barcelona),UPC,5 758,5 000,5 000,5 000
31125,Empresa Innovació i Tecnologia "EUNCET" (Campus 22@) (semipresencial) (Barcelona),UPC,5 000,5 000,5 000,5 000
31128,Empresa Innovació i Tecnologia "EUNCET" (Campus Terrassa) (presencial) (Terrassa),UPC,5 000,5 000,5 000,5 000
31127,Empresa Innovació i Tecnologia "EUNCET" (Campus Terrassa) (semipresencial) (Terrassa),UPC,5 000,5 000,5 000,5 333
31129,Empresa Innovació i Tecnologia / Màrqueting Innovació i Tecnologia "EUNCET" (Campus 22@) (presencial) (simultaneïtat) (Barcelona),UPC,5 000,5 000,5 000,5 000
31130,Empresa Innovació i Tecnologia / Màrqueting Innovació i Tecnologia "EUNCET" (Campus Terrassa) (presencial) (simultaneïtat) (Terrassa),UPC,5 000,5 000,5 000,5 000
11073,Empresa Internacional (docència en Anglès) (Barcelona),UB,11 683,5 000,5 000,5 000
61006,Enginyeria Agrària i Alimentària (Lleida),UdL,6 210,5 000,5 950,5 000
81032,Enginyeria Agroalimentària (Girona),UdG,6 768,5 000,5 000,5 000
31004,Enginyeria Alimentària (Castelldefels),UPC,7 232,5 000,5 000,6 667
31100,Enginyeria Ambiental (Castelldefels / Barcelona),UPC,7 425,5 000,6 400,5 000
11059,Enginyeria Biomèdica (Barcelona),UB,12 500,5 000,8 000,5 000
41033,Enginyeria Biomèdica (Barcelona),UPF,12 286,5 000,5 000,5 000
31051,Enginyeria Biomèdica (Barcelona / Sant Adrià de Besòs),UPC,11 838,5 000,8 172,5 000
81063,Enginyeria Biomèdica (Girona),UdG,10 708,5 000,8 160,5 000
71064,Enginyeria Biomèdica (Tarragona),URV,10 686,5 000,5 000,5 000
71070,Enginyeria Biomèdica / Enginyeria de Sistemes i Serveis de Telecomunicacions (simultaneïtat) (Tarragona),URV,11 836,5 000,5 000,5 000
31103,Enginyeria Civil (Barcelona),UPC,8 528,5 000,5 000,5 000
31113,Enginyeria Civil Grau en + Màster universitari en Enginyeria de Camins Canals i Ports (PARS: Enginyer/a de Camins Canals i Ports) (Barcelona),UPC,10 978,5 000,7 270,5 000
21132,Enginyeria d'Automoció "EU Salesiana de Sarrià" (Barcelona),UAB,7 030,5 000,5 000,5 000
31091,Enginyeria d'Automoció (Campus Manresa) (Manresa / Barcelona),UPC,10 260,5 000,5 000,5 000
71061,Enginyeria de Bioprocessos Alimentaris (Tarragona),URV,5 802,5 000,5 000,5 000
31097,Enginyeria de Ciències Agronòmiques (Castelldefels),UPC,6 114,5 000,7 150,5 000
21118,Enginyeria de Dades (Cerdanyola del Vallès),UAB,9 882,5 000,5 000,5 000
91057,Enginyeria de Disseny Industrial "ELISAVA" (Barcelona),UVic-UCC,5 000,5 000,5 000,5 000
31022,Enginyeria de Disseny Industrial i Desenvolupament del Producte (Terrassa),UPC,10 962,5 000,5 000,5 000
31006,Enginyeria de Disseny Industrial i Desenvolupament del Producte (Vilanova i la Geltrú),UPC,8 105,5 000,5 000,5 000
91051,Enginyeria de l'Automoció (Granollers),UVic-UCC,6 638,5 000,5 000,5 000
31052,Enginyeria de l'Energia (Barcelona / Sant Adrià de Besòs),UPC,8 398,5 000,5 000,5 000
61061,Enginyeria de l'Energia i Sostenibilitat / Enginyeria en Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació) (Lleida),UdL,6 707,5 000,5 000,5 000
61075,Enginyeria de l'Energia i Sostenibilitat / Enginyeria en Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació) Grau en + Màster Universitari en Enginyeria Industrial (PARS: Enginyer/a Industrial) (Lleida),UdL,8 620,5 000,5 000,5 000
61065,Enginyeria de l'Energia i Sostenibilitat / Enginyeria Mecànica (simultaneïtat) (Lleida),UdL,10 944,5 000,5 000,5 000
11060,Enginyeria de Materials (Barcelona),UB,7 792,5 000,5 000,5 000
31025,Enginyeria de Materials (Barcelona / Sant Adrià de Besòs),UPC,8 140,5 000,8 100,5 000
31123,Enginyeria de Satèl·lits (Castelldefels),UPC,10 830,5 000,5 000,5 000
31084,Enginyeria de Sistemes Aeroespacials (Castelldefels),UPC,11 212,5 000,5 000,5 000
31085,Enginyeria de Sistemes Aeroespacials / Enginyeria de Sistemes de Telecomunicació - Enginyeria Telemàtica (agrupació de simultaneïtat) (Castelldefels),UPC,11 400,5 000,5 000,5 000
31010,Enginyeria de Sistemes Audiovisuals (Terrassa),UPC,6 494,5 000,5 000,5 000
31011,Enginyeria de Sistemes Biològics (Castelldefels),UPC,8 772,5 000,5 000,5 000
21115,Enginyeria de Sistemes de Telecomunicació / Enginyeria Electrònica de Telecomunicació (agrupació) (Cerdanyola del Vallès),UAB,7 458,5 000,5 000,5 000
21105,Enginyeria de Sistemes de Telecomunicació / Enginyeria Informàtica (simultaneïtat) (Cerdanyola del Vallès),UAB,9 498,5 000,5 000,5 000
31076,Enginyeria de Sistemes de Telecomunicació / Enginyeria Telemàtica (inclou xarxes i Internet) (agrupació) (Castelldefels),UPC,7 667,5 000,5 000,5 000
31077,Enginyeria de Sistemes de Telecomunicació / Enginyeria Telemàtica (inclou xarxes i Internet) (febrer) (agrupació) (Castelldefels),UPC,6 486,5 000,5 000,5 000
71042,Enginyeria de Sistemes i Serveis de Telecomunicacions (Tarragona),URV,7 400,5 000,5 000,5 000
31065,Enginyeria de Sistemes TIC (àmbit d'Informàtica i Comunicacions) (Manresa),UPC,7 330,5 000,5 000,5 000
31015,Enginyeria de Tecnologia i Disseny Tèxtil / Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica / Enginyeria Química (agrupació) (Terrassa),UPC,8 146,5 000,5 000,5 000
31086,Enginyeria de Tecnologies i Serveis de Telecomunicació (Barcelona),UPC,7 754,5 000,5 000,5 000
31111,Enginyeria de Tecnologies i Serveis de Telecomunicació Grau en + Màster Universitari en Enginyeria de Telecomunicació (PARS: Enginyer/a de Telecomunicació) (Barcelona),UPC,10 214,5 000,5 960,5 000
41020,Enginyeria de Xarxes de Telecomunicació (Barcelona),UPF,8 244,5 000,5 000,5 000
41057,Enginyeria d'Organització Industrial / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica "Tecnocampus" (agrupació) (Mataró),UPF,5 732,5 000,5 000,7 833
31053,Enginyeria Elèctrica (Barcelona / Sant Adrià de Besòs),UPC,7 944,5 000,5 000,5 000
81040,Enginyeria Elèctrica (Girona),UdG,6 450,5 000,5 000,5 000
