Codi,Nom del centre d'estudi,Universitat,Població,Tipus de centre,Places orientatives,Preu orientatiu,Observacions
11076,Seguretat,UB,Mollet del Vallès,U. Públ. CA,60,N/A,16
11063,Sociologia,UB,Barcelona,U. Públ.,130,N/A,16
21056,Sociologia,UAB,Cerdanyola del Vallès,U. Públ.,110,N/A,16
11090,Sociologia / Administració i Direcció d'Empreses (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16
21125,Sociologia / Ciència Política i Gestió Pública (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,20,N/A,04-16
21129,Sociologia / Estadística Aplicada (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,20,N/A,04-16
91915,Tecnologies Industrials amb Anàlisi Econòmica Grau en + Màster Universitari en Enginyeria Industrial (PARS: Enginyer/a Industrial amb Anàlisi Econòmica) (docència en Anglès),UPC / UPF,Barcelona,U. Públ.,50,N/A,21-28
31038,Tecnologies Marines,UPC,Barcelona,U. Públ.,40,N/A,21
21057,Teràpia Ocupacional EUIT de Terrassa,UAB,Terrassa,U. Públ. CA,80,6.945 ,17
91016,Teràpia Ocupacional (presencial / semipresencial),UVic-UCC,Vic,U. Priv.,40,5.473 ,N/A
21058,Traducció i Interpretació -Alemany-,UAB,Cerdanyola del Vallès,U. Públ.,40,N/A,16
41040,Traducció i Interpretació -Alemany / Francès / Llengua de Signes Catalana-,UPF,Barcelona,U. Públ.,70,N/A,21
41006,Traducció i Interpretació -Anglès-,UPF,Barcelona,U. Públ.,85,N/A,01-21
21064,Traducció i Interpretació -Anglès-,UAB,Cerdanyola del Vallès,U. Públ.,140,N/A,01-16
41054,Traducció i Interpretació -Anglès- / Llengües Aplicades (simultaneïtat),UPF,Barcelona,U. Públ.,15,N/A,01-04-21
21065,Traducció i Interpretació -Francès-,UAB,Cerdanyola del Vallès,U. Públ.,50,N/A,16
11051,Treball Social,UB,Barcelona,U. Públ.,240,N/A,16
81044,Treball Social,UdG,Girona,U. Públ.,60,N/A,16
61034,Treball social,UdL,Lleida,U. Públ.,80,N/A,16
71026,Treball Social,URV,Tarragona,U. Públ.,85,N/A,16
11011,"Turisme ""CETT""",UB,Barcelona,U. Públ. CA,152,6.974 ,17
11086,"Turisme ""CETT"" (docència en Anglès)",UB,Barcelona,U. Públ. CA,65,6.974 ,17
81036,"Turisme ""Euroaula""",UdG,Barcelona,U. Públ. CA,100,4.340 ,17
81038,"Turisme ""Mediterrani""",UdG,Barcelona,U. Públ. CA,100,5.415 ,17
21059,Turisme,UAB,Cerdanyola del Vallès,U. Públ. CA,100,5.220 ,17
