Codi,Nom del centre de estudi,Població,Universitat,Tipus de centre,Places orientatives,Preu orientatiu,Observacions,PAU / CFGS,Més grans de 25 anys,Titulats universitaris,Més grans de 45 anys,Branca,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
11030,FÍSICA,BARCELONA,UB,U. PÚBL.,162,NAN,16,11.716,5.000,7.000,5.000,C,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0
11032,GEOLOGIA,BARCELONA,UB,U. PÚBL.,60,NAN,16,5.000,6.063,5.000,5.000,C,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11033,ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES,BARCELONA,UB,U. PÚBL.,780,NAN,16,9.636,5.000,5.000,5.000,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
11034,HISTÒRIA DE L'ART,BARCELONA,UB,U. PÚBL.,170,NAN,16,5.000,5.000,5.000,5.000,AH,2,2,0,0,0,0,0,0,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0
11035,HISTÒRIA,BARCELONA,UB,U. PÚBL.,255,NAN,16,5.000,5.000,5.000,5.500,AH,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0
11036,"INFERMERIA ""SANT JOAN DE DÉU""",SANT BOI DE LLOBREGAT ESPLUGUES DE LLOBREGAT,UB,U. PÚBL. CA,220,6322,17-30,9.150,5.875,7.510,5.000,CS,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
11037,INFERMERIA (CAMPUS BELLVITGE),L'HOSPITALET DE LLOBREGAT,UB,U. PÚBL.,395,NAN,16,11.068,6.719,8.070,5.000,CS,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
11039,LINGÜÍSTICA,BARCELONA,UB,U. PÚBL.,60,NAN,16,5.000,5.000,5.000,5.000,AH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,1,0,0,0,0,0,0,2,2
11040,LLENGÜES I LITERATURES MODERNES,BARCELONA,UB,U. PÚBL.,100,NAN,16,5.000,5.000,5.000,5.000,AH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,1,0,0,0,0,0,0,2,2
11041,MATEMÀTIQUES,BARCELONA,UB,U. PÚBL.,70,NAN,16,12.472,7.563,8.410,5.000,C,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0
11043,MEDICINA (CAMPUS CLÍNIC),BARCELONA,UB,U. PÚBL.,200,NAN,16,12.946,6.657,9.570,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11044,ODONTOLOGIA,L'HOSPITALET DE LLOBREGAT,UB,U. PÚBL.,120,NAN,16,12.496,7.250,9.010,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11045,PEDAGOGIA,BARCELONA,UB,U. PÚBL.,216,NAN,16,8.160,5.000,5.000,5.000,CSJ,1,1,0,2,0,0,0,0,0,1,2,0,1,2,2,0,0,0,1,2,2,0,0,1,0,2,0
11046,PODOLOGIA,L'HOSPITALET DE LLOBREGAT,UB,U. PÚBL.,80,NAN,16,8.513,5.344,8.280,8.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11047,PSICOLOGIA,BARCELONA,UB,U. PÚBL.,432,NAN,16,10.064,5.938,7.990,6.000,CS,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0
11049,QUÍMICA,BARCELONA,UB,U. PÚBL.,180,NAN,16,9.673,5.000,5.000,5.000,C,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11050,RELACIONS LABORALS,BARCELONA,UB,U. PÚBL.,170,NAN,16,8.004,5.000,5.000,5.000,CSJ,0,0,1,0,0,0,0,0,0,2,2,1,0,1,1,1,0,0,0,2,2,0,0,0,0,2,0
11051,TREBALL SOCIAL,BARCELONA,UB,U. PÚBL.,240,NAN,16,7.787,5.000,7.380,5.000,CSJ,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1,0
11052,GESTIÓ I ADMINISTRACIÓ PÚBLICA,BARCELONA,UB,U. PÚBL.,80,NAN,16,7.600,5.000,7.130,5.000,CSJ,0,0,1,0,0,0,0,1,0,2,2,1,0,1,1,1,0,0,0,2,2,1,2,2,0,2,0
11054,CIÈNCIA I TECNOLOGIA DELS ALIMENTS,SANTA COLOMA DE GRAMENET,UB,U. PÚBL.,80,NAN,16,8.524,5.000,5.000,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0
11059,ENGINYERIA BIOMÈDICA,BARCELONA,UB,U. PÚBL.,40,NAN,16,12.500,5.000,8.000,5.000,EA,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0
11060,ENGINYERIA DE MATERIALS,BARCELONA,UB,U. PÚBL.,40,NAN,16,7.792,5.000,5.000,5.000,EA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0
11061,FILOSOFIA,BARCELONA,UB,U. PÚBL.,200,NAN,16,5.000,5.000,6.940,7.500,AH,1,1,0,1,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0
11062,NUTRICIÓ HUMANA I DIETÈTICA,SANTA COLOMA DE GRAMENET,UB,U. PÚBL.,60,NAN,16,10.184,5.563,8.300,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
11063,SOCIOLOGIA,BARCELONA,UB,U. PÚBL.,130,NAN,16,7.156,5.000,5.000,5.000,CSJ,0,0,1,0,1,0,1,1,1,2,2,1,0,1,2,1,0,0,0,2,2,1,0,1,0,2,0
11064,ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES / DRET (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,60,NAN,04-16,11.406,5.000,7.350,5.000,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,1,2,0,0,0,0,2,2,2,0,0,0,2,0
11064,ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES / DRET (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,60,NAN,04-16,11.406,5.000,7.350,5.000,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,1,2,0,0,0,0,2,2,2,0,0,0,2,0
11064,DRET / ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,60,NAN,04-16,11.406,5.000,7.350,5.000,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,1,2,0,0,0,0,2,2,2,0,0,0,2,0
11064,DRET / ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,60,NAN,04-16,11.406,5.000,7.350,5.000,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,1,2,0,0,0,0,2,2,2,0,0,0,2,0
11065,CIÈNCIES POLÍTIQUES I DE L'ADMINISTRACIÓ / DRET (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,11.452,5.563,5.000,5.000,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
11065,CIÈNCIES POLÍTIQUES I DE L'ADMINISTRACIÓ / DRET (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,11.452,5.563,5.000,5.000,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
11065,DRET / CIÈNCIES POLÍTIQUES I DE L'ADMINISTRACIÓ (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,11.452,5.563,5.000,5.000,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
11065,DRET / CIÈNCIES POLÍTIQUES I DE L'ADMINISTRACIÓ (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,11.452,5.563,5.000,5.000,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
11066,ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES / MATEMÀTIQUES (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,12.086,5.000,5.000,5.000,CSJ,0,0,2,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,2,2,2,1,0,0,2,0
11066,ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES / MATEMÀTIQUES (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,12.086,5.000,5.000,5.000,CSJ,0,0,2,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,2,2,2,1,0,0,2,0
11066,MATEMÀTIQUES / ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,12.086,5.000,5.000,5.000,C,0,0,2,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,2,2,2,1,0,0,2,0
11066,MATEMÀTIQUES / ADMINISTRACIÓ I DIRECCIÓ D'EMPRESES (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,12.086,5.000,5.000,5.000,C,0,0,2,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,2,2,2,1,0,0,2,0
11067,COMUNICACIÓ I INDÚSTRIES CULTURALS,BARCELONA,UB,U. PÚBL.,120,NAN,16,8.858,5.000,5.000,5.000,CSJ,1,1,0,0,0,0,2,0,2,2,0,0,0,2,2,2,2,2,0,0,0,0,0,2,0,0,2
11070,DRET / GESTIÓ I ADMINISTRACIÓ PÚBLICA (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,24,NAN,04-16,10.094,6.250,6.830,5.000,CSJ,0,0,1,0,0,0,0,1,0,2,2,1,0,1,2,1,0,0,0,2,2,1,2,2,0,2,0
11070,DRET / GESTIÓ I ADMINISTRACIÓ PÚBLICA (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,24,NAN,04-16,10.094,6.250,6.830,5.000,CSJ,0,0,1,0,0,0,0,1,0,2,2,1,0,1,2,1,0,0,0,2,2,1,2,2,0,2,0
11070,GESTIÓ I ADMINISTRACIÓ PÚBLICA / DRET (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,24,NAN,04-16,10.094,6.250,6.830,5.000,CSJ,0,0,1,0,0,0,0,1,0,2,2,1,0,1,2,1,0,0,0,2,2,1,2,2,0,2,0
11070,GESTIÓ I ADMINISTRACIÓ PÚBLICA / DRET (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,24,NAN,04-16,10.094,6.250,6.830,5.000,CSJ,0,0,1,0,0,0,0,1,0,2,2,1,0,1,2,1,0,0,0,2,2,1,2,2,0,2,0
11072,EDUCACIÓ INFANTIL / EDUCACIÓ PRIMÀRIA (5 ANYS) (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,40,NAN,04-16-19,11.343,6.250,5.000,5.000,CSJ,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2
11072,EDUCACIÓ INFANTIL / EDUCACIÓ PRIMÀRIA (5 ANYS) (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,40,NAN,04-16-19,11.343,6.250,5.000,5.000,CSJ,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2
11072,EDUCACIÓ PRIMÀRIA / EDUCACIÓ INFANTIL (5 ANYS) (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,40,NAN,04-16-19,11.343,6.250,5.000,5.000,CSJ,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2
11072,EDUCACIÓ PRIMÀRIA / EDUCACIÓ INFANTIL (5 ANYS) (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,40,NAN,04-16-19,11.343,6.250,5.000,5.000,CSJ,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2
11073,EMPRESA INTERNACIONAL (DOCÈNCIA EN ANGLÈS),BARCELONA,UB,U. PÚBL.,80,NAN,16,11.683,5.000,5.000,5.000,CSJ,0,0,1,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,2,2,1,0,0,0,2,0
