91018 C	0 0 2 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
21008 C	0 0 2 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
81047 C	0 0 2 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
81048 C	0 0 2 2 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
41001 CS	0 0 2 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
91058 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
11003 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
21011 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
71005 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
71054 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
11004 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
21012 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
61005 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
81007 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
71006 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
91004 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
11109 EA	0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0 0 0
31089 EA	0 0 2 0 0 1 1 2 0 1 0 1 0 0 0 0 0 0 0 2 0 1 1 0 1 0 0
61040 CS	0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
11054 CS	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 0 0 0
21021 CS	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 0 0 0
61008 C	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 0 0 0
21013 CSJ	0 0 0 0 0 0 0 0 1 2 2 0 0 2 2 0 0 0 0 2 2 0 0 0 0 2 0
