Notes de tall 1a assignació Juny 2024 (11/07/24),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys
Ordre alfabètic per centre d'estudi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESTUDIS DE GRAU I TÍTOLS PROPIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11099,Belles Arts (Barcelona),UB,8 280,5 000,6 397,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91059,Belles Arts "BAU" (Barcelona),UVic-UCC,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91917,Bioinformàtica (docència en Anglès) (Barcelona / Cerdanyola del Vallès),UPC / UB /UAB / UPF,10 738,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11002,Biologia (Barcelona),UB,11 030,5 000,6 800,6 167,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21009,Biologia (Cerdanyola del Vallès),UAB,10 936,5 063,7 140,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81006,Biologia (Girona),UdG,9 822,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91018,Biologia (Vic),UVic-UCC,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81047,Biologia / Biotecnologia (simultaneïtat) (Girona),UdG,11 420,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91058,Biomedicina (Vic),UVic-UCC,10 726,5 000,7 430,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11003,Bioquímica (Barcelona),UB,11 608,5 000,7 260,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81048,Biologia / Ciències Ambientals (simultaneïtat) (Girona),UdG,9 484,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21008,Biologia Ambiental (Cerdanyola del Vallès),UAB,10 744,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41001,Biologia Humana (Barcelona),UPF,11 823,5 000,7 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11004,Biotecnologia (Barcelona),UB,11 793,5 000,6 600,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21011,Bioquímica (Cerdanyola del Vallès),UAB,11 342,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
